---------------------VLC LIST GENERATED USING "vlc.exe --list"---------------------
yuv                    YUV video output
  inhibit                Windows screen saver inhibition
  wingdi                 Windows GDI video output
  wgl                    WGL extension for OpenGL
  vmem                   Video memory output
  vdummy                 Dummy video output
  vdummy                 Statistics video output
  gl                     OpenGL video output
  glwin32                OpenGL video output for Windows
  flaschen               Flaschen-Taschen video output
  drawable               Embedded window video
  directdraw             DirectX (DirectDraw) video output
  direct3d9              Direct3D9 video output
  direct3d9              DX OpenGL surface converter for D3D9
  direct3d11             Direct3D11 video output
  caca                   Color ASCII art video output
  tdummy                 Dummy font renderer
  sapi                   Speech synthesis for Windows
  freetype               Freetype2 font renderer
  subsdelay              Subtitle delay
  rss                    RSS and Atom feed display
  remoteosd              Remote-OSD over VNC
  mosaic                 Mosaic video sub source
  marq                   Marquee display
  logo                   Logo sub source
  logo                   Logo video filter
  audiobargraph_v        Audio Bar Graph Video sub source
  audiobargraph_v        Audio Bar Graph Video sub source
  xa                     XA demuxer
  wav                    WAV demuxer
  voc                    VOC demuxer
  vobsub                 Vobsub subtitles parser
  vc1                    VC1 video demuxer
  ty                     TY Stream audio/video demux
  tta                    TTA demuxer
  ts                     MPEG Transport Stream demuxer
  subtitle               Text subtitle parser
  smf                    SMF demuxer
  sid                    C64 sid demuxer
  real                   Real demuxer
  rawvid                 Raw video demuxer
  rawdv                  DV (Digital Video) demuxer
  rawaud                 Raw audio demuxer
  pva                    PVA demuxer
  ps                     MPEG-PS demuxer
  ps                     MPEG-PS demuxer
  playlist               Playlist
  playlist               WPL playlist import
  playlist               iTunes Music Library importer
  playlist               Dummy IFO demux
  playlist               QuickTime Media Link importer
  playlist               Kasenna MediaBase parser
  playlist               ASX playlist import
  playlist               New winamp 5.2 shoutcast import
  playlist               XSPF playlist import
  playlist               Podcast parser
  playlist               DVB playlist import
  playlist               B4S playlist import
  playlist               PLS playlist import
  playlist               RAM playlist import
  playlist               M3U playlist import
  ogg                    OGG demuxer
  nuv                    Nuv demuxer
  nsv                    NullSoft demuxer
  nsc                    Windows Media NSC metademux
  noseek                 Seek prevention demux filter
  mpgv                   MPEG-I/II video demuxer
  mpc                    MusePack demuxer
  mp4                    MP4 stream demuxer
  mod                    MOD demuxer (libmodplug)
  mkv                    Matroska stream demuxer
  mjpeg                  M-JPEG camera demuxer
  image                  Image demuxer
  h26x                   H264 video demuxer
  h26x                   HEVC/H.265 video demuxer
  gme                    Game Music Emu
  flacsys                FLAC demuxer
  es                     MPEG-I/II/4 / A52 / DTS / MLP audio
  es                     MPEG-4 video
  directory              Directory import
  diracsys               Dirac video demuxer
  demux_stl              EBU STL subtitles parser
  demux_chromecast       Chromecast demux wrapper
  demux_cdg              CDG demuxer
  demuxdump              File dumper
  caf                    CAF demuxer
  avi                    AVI demuxer
  au                     AU demuxer
  asf                    ASF/WMV demuxer
  aiff                   AIFF demuxer
  adaptive               Unified adaptive streaming for DASH/HLS
  zvbi                   VBI and Teletext decoder
  x265                   H.265/HEVC encoder (x265)
  x264                   H.264/MPEG-4 Part 10/AVC encoder (x264)
  x26410b                H.264/MPEG-4 Part 10/AVC encoder (x264 10-bit)
  webvtt                 WEBVTT subtitles decoder
  webvtt                 WEBVTT subtitles parser
  webvtt                 WEBVTT subtitles parser
  vpx                    WebM video decoder
  vpx                    WebM video encoder
  vorbis                 Vorbis audio decoder
  vorbis                 Vorbis audio encoder
  vorbis                 Vorbis audio packetizer
  uleaddvaudio           Ulead DV audio decoder
  twolame                Libtwolame audio encoder
  ttml                   TTML subtitles decoder
  ttml                   TTML demuxer
  theora                 Theora video decoder
  theora                 Theora video encoder
  theora                 Theora video packetizer
  textst                 HDMV TextST subtitles decoder
  t140                   T.140 text encoder
  svcdsub                Philips OGT (SVCD subtitle) decoder
  svcdsub                Philips OGT (SVCD subtitle) packetizer
  subsusf                USF subtitles decoder
  substx3g               tx3g subtitles decoder
  subsdec                Text subtitle decoder
  stl                    EBU STL subtitles decoder
  spudec                 DVD subtitles decoder
  spudec                 DVD subtitles packetizer
  speex                  Speex audio decoder
  speex                  Speex audio encoder
  speex                  Speex audio packetizer
  spdif                  S/PDIF pass-through decoder
  sdl_image              SDL_image video decoder
  scte27                 SCTE-27 decoder
  scte18                 SCTE-18 decoder
  schroedinger           Dirac video decoder using libschroedinger
  schroedinger           Dirac video encoder using libschroedinger
  rtpvideo               Raw video encoder for RTP
  rawvideo               Pseudo raw video decoder
  rawvideo               Pseudo raw video packetizer
  qsv                    Intel QuickSync Video encoder for MPEG4-Part10/MPEG2 (aka H.264/H.262)
  png                    PNG video decoder
  png                    PNG video encoder
  opus                   Opus audio decoder
  opus                   Opus audio encoder
  oggspots               OggSpots video decoder
  oggspots               OggSpots video packetizer
  mpg123                 MPEG audio decoder using mpg123
  mft                    Media Foundation Transform decoder
  mft                    Media Foundation Transform decoder
  lpcm                   Linear PCM audio decoder
  lpcm                   Linear PCM audio encoder
  lpcm                   Linear PCM audio packetizer
  libmpeg2               MPEG I/II video decoder (using libmpeg2)
  libass                 Subtitle renderers using libass
  kate                   Kate overlay decoder
  jpeg                   JPEG image decoder
  jpeg                   JPEG image encoder
  g711                   G.711 decoder
  g711                   G.711 encoder
  fluidsynth             FluidSynth MIDI synthesizer
  flac                   Flac audio decoder
  flac                   Flac audio encoder
  faad                   AAC audio decoder (using libfaad2)
  edummy                 Dummy encoder
  dxva2                  DirectX Video Acceleration (DXVA) 2.0
  dvbsub                 DVB subtitles decoder
  dvbsub                 DVB subtitles encoder
  dmo                    DirectMedia Object decoder
  dmo                    DirectMedia Object encoder
  dmo                    DirectMedia Object decoder
  ddummy                 Dummy decoder
  ddummy                 Dummy decoder
  ddummy                 Dummy decoder
  ddummy                 Dump decoder
  ddummy                 Dummy decoder
  ddummy                 Dummy decoder
  dca                    DTS Coherent Acoustics audio decoder
  dav1d                  Dav1d video decoder
  d3d11va                Direct3D11 Video Acceleration
  cvdsub                 CVD subtitle decoder
  cvdsub                 Chaoji VCD subtitle packetizer
  crystalhd              Crystal HD hardware video decoder
  cdg                    CDG video decoder
  cc                     Closed Captions decoder
  avcodec                FFmpeg audio/video decoder
  avcodec                avparser packetizer
  avcodec                libavformat AVIO access output
  avcodec                libavformat AVIO access
  avcodec                Avformat muxer
  avcodec                Avformat demuxer
  avcodec                FFmpeg audio/video encoder
  avcodec                FFmpeg audio/video decoder
  avcodec                FFmpeg audio/video decoder
  aribsub                ARIB subtitles decoder
  araw                   Raw/Log Audio decoder
  araw                   Raw audio encoder
  aom                    AOM video decoder
  aes3                   AES3/SMPTE 302M audio decoder
  aes3                   AES3/SMPTE 302M audio packetizer
  adpcm                  ADPCM audio decoder
  a52                    ATSC A/52 (AC-3) audio decoder
  waveout                WaveOut audio output
  wasapi                 Windows Audio Session API output
  mmdevice               Windows Multimedia Device output
  directsound            DirectX audio output
  directsound            DirectX audio output
  amem                   Audio memory output
  afile                  File audio output
  adummy                 Dummy audio output
  vnc                    VNC client access
  vdr                    VDR recordings
  vcd                    VCD input
  udp                    UDP input
  timecode               Time code subpicture elementary stream generator
  tcp                    TCP input
  smb                    SMB input
  shm                    Shared memory framebuffer
  sftp                   SFTP input
  sdp                    Session Description Protocol
  screen                 Screen Input
  satip                  SAT>IP Receiver Plugin
  rtp                    Real-Time Protocol (RTP) input
  nfs                    NFS input
  live555                RTP/RTSP/SDP demuxer (using Live555)
  live555                RTSP/RTP access and demux
  libbluray              Blu-ray Disc support (libbluray)
  libbluray              BluRay demuxer
  imem_access            In-memory stream input
  idummy                 Dummy input
  http                   HTTP input
  access                 HTTPS input
  ftp                    FTP input
  ftp                    FTP upload output
  filesystem             File input
  filesystem             File input
  dvdread                DVDRead Input (no menu support)
  dvdnav                 DVDnav Input
  dvdnav                 DVDnav demuxer
  dtv                    Digital Television and Radio
  dshow                  DirectShow input
  dshow                  DirectShow input
  dcp                    Digital Cinema Package module
  cdda                   Audio CD input
  cdda                   Audio CD input
  attachment             Attachment input
  wasapi                 Windows Audio Session API input
  access_srt             SRT input
  access_realrtsp        Real RTSP
  access_mms             Microsoft Media Server (MMS) input
  imem                   Memory input
  imem                   Memory input
  concat                 Concatenated inputs
  core                   core program
